; "GeForce GTX 1080", "CC", 6.1, "Multiprocessors", 20, "Memory [MiB]", 8113, "MemoryFree [MiB]", 8000, "MemClock [MHz]", 5005, "GPUClock [MHz]", 1847, "CUDA Runtime", 8000, "cufft", 8000
; "Time_ContextCreate [ms]", 743.662
; "Time_ContextDestroy [ms]", 130.397
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"CuFFT","Inplace","Complex","float",2,"oddshape",7,7,0,2,"Success",0.110629,0.174814,0.222306,0.007296,0.03072,0.023328,0.011776,0.073124,0.583668,392,392,392,59
"CuFFT","Inplace","Complex","float",2,"oddshape",7,7,0,3,"Success",0.112794,0.174814,0.2295,0.007168,0.030656,0.025248,0.011616,0.06628,0.586183,392,392,392,59
"CuFFT","Inplace","Complex","float",2,"oddshape",7,7,0,4,"Success",0.111119,0.180262,0.222516,0.0072,0.030688,0.023552,0.011328,0.066071,0.582829,392,392,392,59
"CuFFT","Inplace","Complex","float",2,"oddshape",5,25,0,0,"Success",0.11482,0.181937,0.223913,0.008192,0.03072,0.02528,0.012288,0.067118,0.590582,1000,1000,1000,48
"CuFFT","Inplace","Complex","float",2,"oddshape",5,25,0,1,"Success",0.112236,0.174954,0.222725,0.007904,0.030496,0.023136,0.011776,0.066698,0.579407,1000,1000,1000,48
"CuFFT","Inplace","Complex","float",2,"oddshape",5,25,0,2,"Success",0.113074,0.174115,0.222446,0.007424,0.031296,0.024576,0.012032,0.066419,0.578919,1000,1000,1000,48
"CuFFT","Inplace","Complex","float",2,"oddshape",5,25,0,3,"Success",0.11957,0.173417,0.222446,0.008096,0.03072,0.024448,0.01984,0.07976,0.597985,1000,1000,1000,48
"CuFFT","Inplace","Complex","float",2,"oddshape",5,25,0,4,"Success",0.112725,0.173906,0.229989,0.007168,0.030656,0.02432,0.01136,0.066559,0.585973,1000,1000,1000,48
"CuFFT","Inplace","Complex","float",2,"oddshape",7,49,0,0,"Success",0.113283,0.182217,0.246052,0.007872,0.03072,0.024192,0.011712,0.066769,0.611186,2744,2744,2744,60
"CuFFT","Inplace","Complex","float",2,"oddshape",7,49,0,1,"Success",0.113423,0.174115,0.221957,0.007424,0.03136,0.025504,0.012128,0.069143,0.581433,2744,2744,2744,60
"CuFFT","Inplace","Complex","float",2,"oddshape",7,49,0,2,"Success",0.113353,0.174186,0.221608,0.008192,0.03072,0.024576,0.01216,0.073124,0.585135,2744,2744,2744,60
"CuFFT","Inplace","Complex","float",2,"oddshape",7,49,0,3,"Success",0.116287,0.174675,0.24277,0.007872,0.032768,0.0256,0.012288,0.068725,0.605249,2744,2744,2744,60
"CuFFT","Inplace","Complex","float",2,"oddshape",7,49,0,4,"Success",0.111677,0.18096,0.221538,0.007328,0.03072,0.023552,0.01184,0.065721,0.58283,2744,2744,2744,60
"CuFFT","Inplace","Complex","float",2,"oddshape",19,19,0,0,"Success",0.078432,0.174256,0.209246,0.007968,0.014336,0.010144,0.011392,0.065442,0.530169,2888,2888,2888,68
"CuFFT","Inplace","Complex","float",2,"oddshape",19,19,0,1,"Success",0.077175,0.174046,0.208827,0.007872,0.014272,0.009216,0.011488,0.064045,0.527026,2888,2888,2888,68
"CuFFT","Inplace","Complex","float",2,"oddshape",19,19,0,2,"Success",0.084089,0.173767,0.208967,0.00736,0.013312,0.015296,0.012064,0.065372,0.535059,2888,2888,2888,68
"CuFFT","Inplace","Complex","float",2,"oddshape",19,19,0,3,"Success",0.077385,0.173277,0.217208,0.008096,0.014336,0.01024,0.011264,0.063905,0.534569,2888,2888,2888,68
"CuFFT","Inplace","Complex","float",2,"oddshape",19,19,0,4,"Success",0.078153,0.182915,0.208967,0.007872,0.014336,0.01024,0.011328,0.064324,0.537293,2888,2888,2888,68
"CuFFT","Inplace","Complex","float",2,"oddshape",19,361,0,0,"Success",0.181309,0.25143,0.293475,0.018432,0.040768,0.031744,0.029184,0.094286,0.823365,54872,54872,54872,69
"CuFFT","Inplace","Complex","float",2,"oddshape",19,361,0,1,"Success",0.159867,0.242282,0.266307,0.018176,0.037888,0.03072,0.026816,0.086813,0.758342,54872,54872,54872,69
"CuFFT","Inplace","Complex","float",2,"oddshape",19,361,0,2,"Success",0.161125,0.241303,0.276643,0.018432,0.036864,0.03072,0.026848,0.087093,0.769168,54872,54872,54872,69
"CuFFT","Inplace","Complex","float",2,"oddshape",19,361,0,3,"Success",0.161684,0.243259,0.267215,0.018176,0.036864,0.03072,0.026944,0.095823,0.770984,54872,54872,54872,69
"CuFFT","Inplace","Complex","float",2,"oddshape",19,361,0,4,"Success",0.160846,0.251151,0.267774,0.017408,0.03856,0.03072,0.027264,0.086324,0.769168,54872,54872,54872,69
"CuFFT","Inplace","Complex","float",2,"oddshape",361,361,0,0,"Success",0.776571,0.314916,0.314358,0.220192,0.103424,0.09504,0.297664,0.110839,1.51983,1.04257e+06,1.04257e+06,1.04257e+06,70
"CuFFT","Inplace","Complex","float",2,"oddshape",361,361,0,1,"Success",0.7772,0.307723,0.31345,0.220768,0.103424,0.095232,0.300192,0.112725,1.51417,1.04257e+06,1.04257e+06,1.04257e+06,70
"CuFFT","Inplace","Complex","float",2,"oddshape",361,361,0,2,"Success",0.788235,0.309189,0.312612,0.220448,0.103424,0.094208,0.312256,0.11035,1.52346,1.04257e+06,1.04257e+06,1.04257e+06,70
"CuFFT","Inplace","Complex","float",2,"oddshape",361,361,0,3,"Success",0.784184,0.293825,0.323857,0.218112,0.103424,0.095232,0.31232,0.108743,1.51375,1.04257e+06,1.04257e+06,1.04257e+06,70
"CuFFT","Inplace","Complex","float",2,"oddshape",361,361,0,4,"Success",0.773219,0.288866,0.316662,0.218048,0.103424,0.094208,0.301728,0.117474,1.49929,1.04257e+06,1.04257e+06,1.04257e+06,70
"CuFFT","Inplace","Complex","float",2,"oddshape",361,6859,0,0,"Success",8.79099,0.344111,0.468638,2.99722,1.67629,1.65786,2.40346,0.198071,9.80474,1.98088e+07,1.98088e+07,1.98088e+07,71
"CuFFT","Inplace","Complex","float",2,"oddshape",361,6859,0,1,"Success",8.79692,0.388809,0.468987,2.9737,1.6791,1.6599,2.41491,0.194858,9.85244,1.98088e+07,1.98088e+07,1.98088e+07,71
"CuFFT","Inplace","Complex","float",2,"oddshape",361,6859,0,2,"Success",8.80901,0.380149,0.477509,2.98394,1.67731,1.66054,2.4207,0.192205,9.8618,1.98088e+07,1.98088e+07,1.98088e+07,71
"CuFFT","Inplace","Complex","float",2,"oddshape",361,6859,0,3,"Success",8.80321,0.376796,0.477788,2.98896,1.67696,1.65779,2.41062,0.193182,9.85915,1.98088e+07,1.98088e+07,1.98088e+07,71
"CuFFT","Inplace","Complex","float",2,"oddshape",361,6859,0,4,"Success",8.79972,0.371349,0.46808,2.9817,1.68346,1.65888,2.40979,0.192903,9.83505,1.98088e+07,1.98088e+07,1.98088e+07,71
